Trip_ID,Tow_Number,Reviewer,Tow_Type,Fish Type,Species,Frame,Time_in_video
Spring 2015,3,Greg,Open,SKATE,Unknown,34,0.03
Spring 2015,3,Greg,Open,ROUND,Cod,41,0.04
Spring 2015,3,Greg,Open,SKATE,Unknown,52,0.04
Spring 2015,3,Greg,Open,FLAT,Yellowtail,69,0.04
Spring 2015,3,Greg,Open,FLAT,Yellowtail,78,0.04
Spring 2015,3,Greg,Open,SKATE,Unknown,87,0.05
Spring 2015,3,Greg,Open,SKATE,Barndoor,88,0.05
Spring 2015,3,Greg,Open,ROUND,Haddock,91,0.05
Spring 2015,4,Travis,Closed,ROUND,Unknown,34,0.03
Spring 2015,4,Travis,Closed,ROUND,Cod,41,0.04
Spring 2015,4,Travis,Closed,SKATE,Unknown,52,0.04
Spring 2015,4,Travis,Closed,FLAT,Yellowtail,69,0.04
Spring 2015,4,Travis,Closed,FLAT,Yellowtail,78,0.04
Spring 2015,4,Travis,Closed,SKATE,Unknown,87,0.05
Spring 2015,4,Travis,Closed,SKATE,Barndoor,88,0.05
Spring 2015,4,Travis,Closed,ROUND,Haddock,91,0.05
